"X.U.FEFF.observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
26,"Arthropoda","Insecta","Coleoptera","Curculionidae","Eucyllus","vagans","","body mass",7.43,"mg",,,20,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
26,"Arthropoda","Insecta","Coleoptera","Curculionidae","Eucyllus","vagans","","metabolic rate",546,"(O2) ul/g/h",20,,20,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
27,"Arthropoda","Insecta","Coleoptera","Curculionidae","Eucyllus","unicolor","","body mass",2.59,"mg",,,29,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
27,"Arthropoda","Insecta","Coleoptera","Curculionidae","Eucyllus","unicolor","","metabolic rate",683,"(O2) ul/g/h",20,,29,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
28,"Arthropoda","Insecta","Coleoptera","Curculionidae","Miloderes","sp.","","body mass",3.4,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
28,"Arthropoda","Insecta","Coleoptera","Curculionidae","Miloderes","sp.","","metabolic rate",3235,"(O2) ul/g/h",20,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
29,"Arthropoda","Insecta","Coleoptera","Curculionidae","Ophryastes","varius","","body mass",27.26,"mg",,,9,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
29,"Arthropoda","Insecta","Coleoptera","Curculionidae","Ophryastes","varius","","metabolic rate",510,"(O2) ul/g/h",20,,9,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
30,"Arthropoda","Insecta","Coleoptera","Curculionidae","Smicronyx","imbricata","","body mass",0.32,"mg",,,60,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
30,"Arthropoda","Insecta","Coleoptera","Curculionidae","Smicronyx","imbricata","","metabolic rate",1156,"(O2) ul/g/h",20,,60,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
31,"Arthropoda","Insecta","Coleoptera","Curculionidae","Griburius","sp.","","body mass",3.31,"mg",,,30,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
31,"Arthropoda","Insecta","Coleoptera","Curculionidae","Griburius","sp.","","metabolic rate",2335,"(O2) ul/g/h",20,,30,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","not specified",
32,"Arthropoda","Insecta","Coleoptera","Curculionidae","Griburius","sp.","","body mass",9.42,"mg",,,1,"",22,"Mispagel, 1981",1981,"Mispagel, M. E. (1981). Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology, 6(4), 423-431. doi:10.1111/j.1365-2311.1981.tb00634.x","",
